类别,周一0210,周二0211,周三0212,周四0213,周五0214
市场焦点股,"新炬网络 8连板;
冀东装备 10天7板;
美格智能 6连板;
优刻得 4连板;
青云科技 4连板;","冀凯股份 15天12板;
新炬网络 9连板;
美格智能 7连板;
青云科技 5连板;","冀凯股份 16天13板2连板;
新炬网络 10连板;
美格智能 8连板;
冀东装备 12天8板;
浙江东方 7连板;","冀凯股份 17天14板3连板;
梦网科技 7连板;
杭钢股份 7连板;
航锦科技 8天7板;
光线传媒 7天5板4连板;","梦网科技 8连板;
杭钢股份 8连板;
拓维信息 8天7板;
光线传媒 8天6板5连板;"
算力工程,"27只;
浙数文化 4天4板;
奥瑞德 2天2板;
瑞斯康达 2天2板;
中化岩土 2天2板;
浙大网新 4天2板;
数据港 4天2板;
大卫科技 4天2板;","9只;
浙数文化 5天5板;
奥瑞德 3天3板;
瑞迪康达 3天3板;
莲华控股 4天3板;
创兴资源 5天3板;
广脉科技 2天2板;","6只;
东方材料 6天4板;
润建股份 3天3板;","6只;
东方材料 7天5板;
康盛股份 2天2板;
立方数科 2天2板;","6只;
瑞斯康达 6天4板;
日海智能 8天4板;
宏景科技 2天2板;"
deepseek,"20只;
美格智能 6天6板;
杭锦智能 5天5板;
青云科技 4天4板;
杭钢股份 4天4板;
梦网科技 4天4板;
优刻得-W 4天4板;
每日互动 5天4板;
并行科技 4天3板;
天娱数科 4天3板;
首都在线 4天3板;
安恒信息 4天3板;","15只;
美格智能 7天7板;
航锦科技 6天6板;
杭钢股份 5天5板;
青云科技-U 5天5板;
梦网科技 5天5板;
居然智家 2天2板;
龙软科技 2天2板;
润建股份 2天2板;","12只;
美格智能 8天8板;
青云科技-U 6天6板;
威派格 2天2板;
浙文互联 3天2板;","16只;
杭钢股份 7天7板;
梦网科技 7天7板;
航锦科技 8天7板;
居然智家 4天4板;
威派格 3天3板;
浙文互联 4天3板;
视觉中国 2天2板;","9只;
梦网科技 8天8板;
杭钢股份 8天8板;
居然智家 5天5板;
威派格 4天4板;
润建股份 5天4板;
华扬联众 2天2板;
艾可蓝 2天2板;"
华为产业链,"18只;
拓维信息 4天4板;
海南华铁 3天3板;
神州数码 2天2板;
常山北明 2天2板;
四川长虹 2天2板;
国华网安 4天2板;
川大智胜 4天2板;","2只;
拓维信息 5天5板;
海南华铁 4天4板;","6只;
新炬网络 10天10板;
拓维信息 6天6板;
常山北明 4天3板;
日出东方 2天2板;","3只;
海南华铁 6天5板;
四川长虹 5天3板;","5只;
拓维信息 8天7板;
南威软件 2天2板;"
机器人,"14只;
云内动力 2天2板;","10只;
冀凯股份 15天12板;
雷柏科技 4天3板;
金帝股份 2天2板;","14只;
冀凯股份 16天13板;
冀东装备 12天8板;
精伦电子 6天4板;
福莱新材 2天2板;","4只;
冀凯股份 17天14板;
杭齿前进 2天2板;","2只;
杭齿前进 3天3板;"
AI医疗,"12只;
塞力医疗 5天3板;
贝瑞基因 2天2板;
美年健康 2天2板;
金域医学 2天2板;",,,,"17只;
美年健康 6天4板;"
人工智能,"9只;
利欧股份 4天2板;",,,,
国企改革,7只;,"2只;
东风科技 2天2板;",,,
商业零售,6只;,,,,
食品饮料,5只;,,,,
AI智能体,"4只;
新炬网络 8天8板;
盛通股份 6天3板;","3只;
新炬网络 9天9板;",,,1只;
AI眼镜,3只;,,,,
人脑工程,2只;,,,,
比亚迪智驾,"2只;
联创电子 3天2板;
通达电气 3天3板;",,,,
虚拟电厂,2只;,,,,
消费电子,,7只;,3只;,,
文化传媒,,"5只;
光线传媒 5天3板;",,,
影视,,,,"9只;
光线传媒 7天5板;
横店影视 2天2板;",
浙江,,4只;,,,
文创玩具,,3只;,"4只;
华数传媒 2天2板;
金运激光 2天2板;",,
纺织服装,,"3只;
梦洁股份 2天2板;",,,
AIPC,,"3只;
联创电子 4天4板;",,,
黄金概念,,2只;,,,
芯片产业链,,,10只;,,
阿里巴巴概念,,,"8只;
梦网科技 6天6板;
杭钢股份 6天6板;
浙数文化 6天6板;
居然智家 3天3板;
浙大网新 6天3板;
数据港 6天3板;","8只;
数据港 7天4板;
三江购物 2天2板;","3只;
数据港 8天5板;
三江购物 3天3板;"
数据中心,,,6只;,"2只;
中恒电气 2天2板;","3只;
潍柴重机 3天2板;"
低空经济,,,"4只;
吉大正元 3天2板;","3只;
日海智能 3天2板;","3只;
上工申贝 3天2板;"
房地产,,,3只;,3只;,
液冷IDC,,,2只;,,
培育钻石,,,2只;,,
氢能,,,2只;,,
新型城镇化,,,,4只;,
猪肉产业,,,,3只;,
固态电池,,,,2只;,4只;
数据要素,,,,,"9只;
金桥信息 2天2板;"
量子通信,,,,,2只;
游戏,,,,,"2只;
杭州高新 4天2板;"
比亚迪概念,,,,,2只;
医疗器械,,,,,1只;
